stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,image_welcome.stopped,resp_Welcome.keys,resp_Welcome.rt,resp_Welcome.started,resp_Welcome.stopped,image_Instr_Intro.started,image_Instr_Intro.stopped,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Intro.started,resp_Instr_Intro.stopped,image_Instr_Prac1.started,image_Instr_Prac1.stopped,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_Instr_Prac1.started,resp_Instr_Prac1.stopped,text_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.started,resp_trial_Prac1.stopped,text_Feedback_Prac1.started,text_Feedback_Prac1.stopped,resp_trial_Prac1.rt,image_Instr_Test1.started,image_Instr_Test1.stopped,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_Instr_Test1.started,resp_Instr_Test1.stopped,text_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_trial_Test1.started,resp_trial_Test1.stopped,image_Instr_Test2.started,image_Instr_Test2.stopped,resp_Instr_Test2.keys,resp_Instr_Test2.rt,resp_Instr_Test2.started,resp_Instr_Test2.stopped,text_trial_Test2.started,text_trial_Test2.stopped,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,key_resp_Test2.started,key_resp_Test2.stopped,image_theEnd.started,image_theEnd.stopped,resp_theEnd.keys,resp_theEnd.rt,resp_theEnd.started,resp_theEnd.stopped,participant,session,indywidualny kod,date,expName,psychopyVersion,frameRate,
,,X,space,,,,,,,0,37,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.34650769969448,148.6459276000969,space,1,0.4140796000137925,148.34650769969448,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,X,space,,,,,,,0,38,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.34538909979165,149.64523059967905,space,1,0.30763049982488155,149.34538909979165,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,T,none,,,,,,,0,39,39,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.41603819979355,150.72723319986835,None,1,,150.41603819979355,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,N,none,,,,,,,0,40,40,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.34821560001,151.65973869990557,space,0,0.3219266999512911,151.34821560001,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,X,space,,,,,,,0,41,41,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.3425177000463,152.64217850007117,space,1,0.34021509997546673,152.3425177000463,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,F,none,,,,,,,0,42,42,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.34728420013562,153.65792009979486,None,1,,153.34728420013562,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,X,space,,,,,,,0,43,43,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.34054079977795,154.64027839992195,space,1,0.30089589999988675,154.34054079977795,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,M,none,,,,,,,0,44,44,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.35850470000878,155.6725304001011,None,1,,155.35850470000878,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,X,space,,,,,,,0,45,45,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.3547366997227,156.6544077997096,space,1,0.30791279999539256,156.3547366997227,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,X,space,,,,,,,0,46,46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.35377189982682,157.65345040010288,space,1,0.3541988003998995,157.35377189982682,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,X,space,,,,,,,0,47,47,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.35273979976773,158.65280439984053,space,1,0.32750899996608496,158.35273979976773,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,X,space,,,,,,,0,48,48,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.3521163999103,159.65196610009298,space,1,0.3016261998564005,159.3521163999103,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,X,space,,,,,,,0,49,49,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.3513549999334,160.65096609992906,space,1,0.30596920009702444,160.3513549999334,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.83679369976744,None,z,22.969163300003856,161.3498327997513,None,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,X,none,,,,,,,,,0,0,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.36173269990832,184.67686219979078,space,0,0.7050560000352561,184.36173269990832,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,X,none,,,,,,,,,0,1,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.3595011997968,185.65951329981908,None,1,,185.3595011997968,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,K,space,,,,,,,,,0,2,2,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.3586721001193,186.6586567000486,space,1,0.35763049963861704,186.3586721001193,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,M,space,,,,,,,,,0,3,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.35800440004095,187.65772949997336,space,1,0.43011860037222505,187.35800440004095,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,V,space,,,,,,,,,0,4,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.356976499781,188.6564162997529,space,1,0.36059929989278316,188.356976499781,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,E,space,,,,,,,,,0,5,5,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.35590930003673,189.65534379985183,space,1,0.36284760013222694,189.35590930003673,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,X,none,,,,,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.3545845998451,190.6542843999341,space,0,0.26645709993317723,190.3545845998451,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,R,space,,,,,,,,,0,7,7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.35348089970648,191.65319729968905,space,1,0.2675702003762126,191.35348089970648,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,X,none,,,,,,,,,0,8,8,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.35254379967228,192.6522039999254,space,0,0.3219293998554349,192.35254379967228,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,Z,space,,,,,,,,,0,9,9,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.3515722998418,193.65126270009205,space,1,0.353110000025481,193.3515722998418,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,E,space,,,,,,,,,0,10,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.35058850003406,194.65026129968464,space,1,0.4522306998260319,194.35058850003406,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,Y,space,,,,,,,,,0,11,11,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.3662319998257,195.66590989986435,space,1,0.6070925001986325,195.3662319998257,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,T,space,,,,,,,,,0,12,12,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.36524329986423,196.6649040998891,space,1,0.39621759997680783,196.36524329986423,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,X,none,,,,,,,,,0,13,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.3644242999144,197.66407139971852,None,1,,197.3644242999144,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,E,space,,,,,,,,,0,14,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.3636761996895,198.66336959972978,space,1,0.35900989966467023,198.3636761996895,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,W,space,,,,,,,,,0,15,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.36260729981586,199.66250289976597,space,1,0.3849984002299607,199.36260729981586,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,A,space,,,,,,,,,0,16,16,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.36142339976504,200.66128240013495,space,1,0.393130199983716,200.36142339976504,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,L,space,,,,,,,,,0,17,17,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.3640008000657,201.6767953997478,space,1,0.3393502999097109,201.3640008000657,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,W,space,,,,,,,,,0,18,18,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.3594351997599,202.65924509987235,space,1,0.3117448999546468,202.3594351997599,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,W,space,,,,,,,,,0,19,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.35867809969932,203.65813739970326,space,1,0.38940450036898255,203.35867809969932,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,I,space,,,,,,,,,0,20,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.3574918997474,204.65724259987473,space,1,0.42054429976269603,204.3574918997474,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,F,space,,,,,,,,,0,21,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.35646829986945,205.6560676000081,space,1,0.3704532003030181,205.35646829986945,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,V,space,,,,,,,,,0,22,22,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.35544969979674,206.65528299985453,space,1,0.33151650009676814,206.35544969979674,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,I,space,,,,,,,,,0,23,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.35441379994154,207.65443569980562,space,1,0.36157780000939965,207.35441379994154,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,T,space,,,,,,,,,0,24,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.35357969999313,208.65322989970446,space,1,0.4331607003696263,208.35357969999313,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,F,space,,,,,,,,,0,25,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.3524961997755,209.65216169971973,space,1,0.35364829981699586,209.3524961997755,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,F,space,,,,,,,,,0,26,26,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.35146499983966,210.65127969998866,space,1,0.31603729957714677,210.35146499983966,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,X,none,,,,,,,,,0,27,27,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.35058709979057,211.6502414001152,None,1,,211.35058709979057,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,A,space,,,,,,,,,0,28,28,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.34968789992854,212.6492568999529,space,1,0.29352649999782443,212.34968789992854,212.34968789992854,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,R,space,,,,,,,,,0,29,29,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.3652777997777,213.6649397998117,space,1,0.29863409977406263,213.3652777997777,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,A,space,,,,,,,,,0,30,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.36424459982663,214.66392630012706,space,1,0.2843180997297168,214.36424459982663,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,T,space,,,,,,,,,0,31,31,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.3632831997238,215.6629325998947,space,1,0.3460933999158442,215.3632831997238,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,H,space,,,,,,,,,0,32,32,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.3623512997292,216.6619657999836,space,1,0.3540824996307492,216.3623512997292,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,K,space,,,,,,,,,0,33,33,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.36128660012037,217.66123879980296,space,1,0.33936489978805184,217.36128660012037,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,M,space,,,,,,,,,0,34,34,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.36030780011788,218.66046090004966,space,1,0.315378500148654,218.36030780011788,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,N,space,,,,,,,,,0,35,35,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.36141359992325,219.6755021996796,space,1,0.3189163999632001,219.36141359992325,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,R,space,,,,,,,,,0,36,36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.35843240004033,220.65789069980383,space,1,0.2842891998589039,220.35843240004033,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,X,none,,,,,,,,,0,37,37,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.35720819979906,221.6568803000264,None,1,,221.35720819979906,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,X,none,,,,,,,,,0,38,38,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.35622309986502,222.65587549982592,space,0,0.3822252000682056,222.35622309986502,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,Z,space,,,,,,,,,0,39,39,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.35527750011533,223.6549355997704,space,1,0.302768399938941,223.35527750011533,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,Y,space,,,,,,,,,0,40,40,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.35425069974735,224.65398010006174,space,1,0.4037732998840511,224.35425069974735,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,K,space,,,,,,,,,0,41,41,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.3535607997328,225.65336770005524,space,1,0.3529485003091395,225.3535607997328,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,L,space,,,,,,,,,0,42,42,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.35278610000387,226.65215789992362,space,1,0.381738199852407,226.35278610000387,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,I,space,,,,,,,,,0,43,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.35173729993403,227.65147779975086,space,1,0.3237747000530362,227.35173729993403,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,Y,space,,,,,,,,,0,44,44,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.35070279985666,228.65056969970465,space,1,0.30316640017554164,228.35070279985666,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,N,space,,,,,,,,,0,45,45,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.34981409972534,229.6496208999306,space,1,0.4147799997590482,229.34981409972534,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,H,space,,,,,,,,,0,46,46,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.35036579985172,230.66521959984675,space,1,0.401343900244683,230.35036579985172,230.35036579985172,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,X,none,,,,,,,,,0,47,47,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.36453019967303,231.66395810013637,None,1,,231.36453019967303,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,H,space,,,,,,,,,0,48,48,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.36354649998248,232.66318729985505,space,1,0.39068950014188886,232.36354649998248,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,X,none,,,,,,,,,0,49,49,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.36261310009286,233.66217019967735,None,1,,233.36261310009286,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.84824849991128,None,space,19.99239689996466,234.36151959979907,None,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
